,vacancy_name,company_name,city,date,workplace_type,area,level,speciality,schedule,salary,python,sql,apache,java
0,Data Engineer,Summ.link,"Гент, Фландерс, Бельгия",1 неделю назад,Удаленная работа,Бельгия,junior,data engineer,1,0,0,0,0,0
1,Analityk/Analityczka Danych HR,GFT Group,Польша,2 недели назад,Гибридный формат работы,Польша,middle,unknown,1,0,0,0,0,0
2,DATA SCIENTIST - H/F - (CDI-3533),Banque de France,Франция,3 недели назад,Работа в офисе,Франция,middle,unknown,1,0,0,0,0,0
3,Data scientist - Hitelkockázati modell validátor,OTP Bank,"Будапешт, Венгрия",1 день назад,Гибридный формат работы,Венгрия,middle,data scientist,1,0,1,1,0,0
4,Junior Data Scientist - Credit Risk Analyst,CRIF,"Прага, Прага, Чехия",2 недели назад,Гибридный формат работы,Чехия,junior,data scientist,1,0,1,0,0,0
5,Data Scientist - Credit Rating Model Developer,Citi,Польша,1 неделю назад,Работа в офисе,Польша,senior,data scientist,1,0,1,0,0,0
6,Data Scientist (f/m/x),Mercedes-Benz Mobility AG,"Штутгарт, Баден-Вюртемберг, Германия",4 дня назад,Работа в офисе,Германия,middle,data scientist,1,0,1,0,0,0
7,Data scientist,Belastingdienst,"Утрехт, Утрехт, Голландия",2 недели назад,Гибридный формат работы,Голландия,senior,data scientist,1,0,1,1,0,0
8,Senior Data Scientist - Risk,SumUp,Германия,5 дней назад,Гибридный формат работы,Германия,senior,data scientist,1,0,1,1,0,0
9,Data Scientist (w/m/d),Wien Energie GmbH,"Вена, Вена, Австрия",2 недели назад,Гибридный формат работы,Австрия,middle,data scientist,1,0,1,0,0,0
10,Data Scientist para Financial Advisory,Deloitte,"Барселона, Каталония, Испания",1 неделю назад,Гибридный формат работы,Испания,middle,data scientist,1,0,1,1,0,0
11,Data scientist F/H,Matmut,"Руан, Нормандия, Франция",2 дня назад,Работа в офисе,Франция,middle,data scientist,1,0,1,0,0,0
12,Senior Data Scientist - Risk,SumUp,"София, Sofia City, Болгария",5 дней назад,Гибридный формат работы,Болгария,senior,data scientist,1,0,1,1,0,0
13,Data Scientist Commodity Analysis (m/w/d),REWE Group,"Кёльн, Северный Рейн-Вестфалия, Германия",2 недели назад,Работа в офисе,Германия,middle,data scientist,1,0,1,1,0,0
14,Analytiker/Data scientist,Gjensidige,"Осло, Осло, Норвегия",5 дней назад,Работа в офисе,Норвегия,middle,data scientist,1,0,1,1,0,0
15,Data Scientist (w/m/d) - Raiffeisen Analytik,Raiffeisen Bank International AG,"Вена, Вена, Австрия",1 день назад,Гибридный формат работы,Австрия,middle,data scientist,1,0,1,1,0,0
16,"Associate Data Scientist, Graduates of Summer 2023 – IBM CIC",IBM,"Орхус, Центральная Ютландия, Дания",1 день назад,Работа в офисе,Дания,middle,data scientist,1,0,1,0,0,1
17,Associate Data Scientist,Genmab,"Копенгаген, Капитал, Дания",1 день назад,Гибридный формат работы,Дания,middle,data scientist,1,0,1,1,0,0
18,Data Scientist/Machine Learning Engineer - Regio Wilrijk,Madison Recruitment (We're hiring 🚀),"Антверпен, Фландерс, Бельгия",22 часа назад,Работа в офисе,Бельгия,middle,data engineer,1,0,0,0,0,0
19,Senior Data Scientist | Fitch Data,Cooder,Голладния,1 месяц назад,Гибридный формат работы,Голладния,senior,data scientist,1,0,0,0,0,0
20,Threat Analytics Data Scientist (m/w/d) - Anti-Financial Crime,Jobs via eFinancialCareers,Германия,3 недели назад,Работа в офисе,Германия,middle,data scientist,1,0,1,0,0,0
21,Data Scientist - betting odds,PandaScore,Франция,1 неделю назад,Удаленная работа,Франция,middle,data scientist,1,0,1,0,0,0
22,Junior Data Scientist / Data Analyst - Controlling (m/w/d),Kaufland Deutschland,"Хайльбронн, Баден-Вюртемберг, Германия",1 месяц назад,Работа в офисе,Германия,junior,data scientist,1,0,1,1,0,0
