,Unnamed: 0,full_name,speciality,level,area,salary,employer,schedule,remote,skills,date,python,sql,pytorch,apache,git,java,eng
0,0,Аналитик / Data Science (Москва),data scientist,unknown,Москва,1,other,1,0,"{'requirement': 'Серьезную математическую подготовку. Опыт применения методов статистического анализа и моделирования. Опыт работы с алгоритмами машинного обучения. Уверенное знание языка Python...', 'responsibility': '...работы моделей и их валидация. Анализ рисковой отчетности работы компании и подготовка рекомендаций. Участие в проектах внутри команды риск-<highlighttext>аналитиков</highlighttext>.'}",2022-11-28,1,0,1,0,0,0,Moscow
1,1,Аналитик / Data scientist,data scientist,unknown,Москва,0,other,1,1,"{'requirement': 'Знание основ мат. статистики и теории вероятности. Уверенное владение R или Python (pandas/numpy/sklearn). Желание самостоятельно исследовать данные и...', 'responsibility': 'Разработка математических моделей оценки эффективности рекламы. Разработка предиктивных моделей на основе анализа больших массивов данных. Построение стратегических прогнозов и рекомендаций...'}",2022-11-21,1,0,1,0,0,0,Moscow
2,2,Аналитик данных (data analyst / data scientist),data scientist,unknown,Москва,1,other,1,0,"{'requirement': 'Высшее образование (техническое; экономическое; математическое). Знание экономико-математических методов прогнозирования и анализа данных. Опыт работы с Python, SQL. ', 'responsibility': 'Прогнозирование спроса, построение предиктивных, оптимизационных моделей, алгоритмы на Python, статистический анализ. Ведение и оптимизация отчетности, расчет мотиваций. Выполнение AdHoc запросов...'}",2022-12-02,1,1,1,0,0,0,Moscow
3,3,Аналитик данных (Data Scientist),data scientist,unknown,Москва,1,other,1,0,"{'requirement': 'Высшее техническое образование. Опыт работы от 2-х лет. Язык программирования Python. Pandas, Numpy, Scipy, Sklearn, Matplotlib, Seaborn. ', 'responsibility': 'Разрабатывает и/или модифицирует ПО компании в рамках внутрикорпоративных разработок. Устраняет дефекты ПО компании в рамках внутрикорпоративных разработок в соответствии...'}",2022-12-08,1,0,1,0,0,0,Moscow
4,4,Аналитик данных / Data scientist,data scientist,unknown,Москва,0,other,0,0,"{'requirement': 'Обязательно: 1. Опыт работы <highlighttext>аналитиком</highlighttext> от 1 года. Ждем от кандидата проактивного подхода к решению задач и критическое восприятие результатов...', 'responsibility': '1. 20% Взаимодействие с заказчиками и подрядчиками (обсуждение аналитических задач). 2. 30% Анализ данных. 3. 30% Разработка аналитических правил для...'}",2022-12-19,0,0,1,0,0,0,Moscow
5,5,Аналитик данных / Data Scientist,data scientist,unknown,Москва,0,other,1,0,"{'requirement': 'Образование высшее: социальные науки (психология / социология / экономика) или IT / математика / физика. Знание английского (чтение профессиональной литературы). Высокий уровень самостоятельности и...', 'responsibility': 'Анализ результатов проектов и разработка рекомендаций по улучшению оценочных инструментов. Работа с психометрическими данными, внедрение IRT в тесты. '}",2022-12-17,0,0,1,0,0,0,Moscow
6,6,Аналитик данных / Data Scientist,data scientist,unknown,Москва,0,other,1,0,"{'requirement': 'Высшее математическое / техническое образование. Опыт работы с большими массивами данных. Уверенные знания SQL: агрегация, джойны, вложенные запросы, индексы, оптимизация запросов. ', 'responsibility': 'Участие в построении логической и физической модели данных. Проработка и реализация процессов по извлечению данных из различных источников (БД, сторонние...'}",2022-12-12,0,1,1,0,0,0,Moscow
7,7,Аналитик данных / Data Scientist (Middle),data scientist,middle,Владивосток,1,other,0,0,"{'requirement': 'базовые знания любого языка программирования. - знание Excel. Будет плюсом: - опыт работы <highlighttext>аналитиком</highlighttext> интернет-проектов и веб-приложений. - знания Python или...', 'responsibility': 'постановка задач для организации сбора данных. - сбор и обработка информации. - подтверждение статистической значимости результатов исследований. - документирование исследований.'}",2022-12-18,1,0,1,0,0,0,Vladivostok
8,8,Аналитик данных / Data Scientist (Middle),data scientist,middle,Новосибирск,1,other,1,0,"{'requirement': 'базовые знания любого языка программирования. - знание Excel. Будет плюсом: - опыт работы <highlighttext>аналитиком</highlighttext> интернет-проектов и веб-приложений. - знания Python или...', 'responsibility': 'постановка задач для организации сбора данных. - сбор и обработка информации. - подтверждение статистической значимости результатов исследований. - документирование исследований.'}",2022-11-29,1,0,1,0,0,0,Novosibirsk
9,9,Аналитик данных / Data Scientist (Middle),data scientist,middle,Томск,1,other,1,0,"{'requirement': 'базовые знания любого языка программирования. - знание Excel. Будет плюсом: - опыт работы <highlighttext>аналитиком</highlighttext> интернет-проектов и веб-приложений. - знания Python или...', 'responsibility': 'постановка задач для организации сбора данных. - сбор и обработка информации. - подтверждение статистической значимости результатов исследований. - документирование исследований.'}",2022-11-29,1,0,1,0,0,0,Tomsk
